"","shape.trait1","resid.trait1","trait1","shape.trait2","resid.trait2","trait2","shape.trait3","resid.trait3","trait3","shape.trait4","resid.trait4","trait4","shape.trait5","resid.trait5","trait5","shape.trait6","resid.trait6","trait6"
"Lynne_McGranger",0.377389977267326,0.0779659200183351,0.453084976710142,0.276888509914181,-0.479171422607891,-0.212622962232678,-0.144516730633381,-0.982691289889646,-1.1238435977752,0.117480607715375,0.898306000065521,1.08817462068735,-0.253471576484837,-0.564142096407376,-0.608350373899879,0.14100669972279,-0.576506659257471,-0.444231646524117
"Lynn_Redgrave_vid01_clip07_2secs",-0.249292927757371,-0.381601963221765,-0.622948178217391,-0.232489053023451,-0.211791117684273,-0.433334724523223,-0.550960482625523,0.56636066708997,0.0124282539655839,0.120731944378775,0.360356299591492,0.555521924243784,0.440956738695317,1.04914717899231,1.1228909372468,0.397110087334383,0.252463851180724,0.640360788141639
"Mackenzie_Aladjem_vid01_clip03_2secs",-0.600041107124695,-0.217154897039549,-0.803530583804521,-0.16485854401298,-1.50179962322088,-1.65853881511997,0.281986047622539,1.61198077307876,1.90398031174081,0.0214309620285047,-0.809864861957541,-0.776478148009655,0.652458308063903,1.02044474638775,1.13011307759723,0.541267515043611,0.413661755655824,0.945445110545013
"Mae_Jemison_vid01_clip06_2secs",-0.63890930928211,0.10908151883692,-0.515528650807441,0.233753671978243,0.331289775698523,0.556505885085049,1.14301172471689,-0.172681907907054,0.993766476043725,-0.130519682212942,1.0632614523025,0.849093619211735,-0.666013573085291,0.147229403995815,0.0329488565995054,0.0799645347580887,0.469605453843764,0.540953058264356
"Maggie_Cheung_vid02_clip05_2secs",-0.971224022375729,-0.345531465305287,-1.29703818542267,0.263141153590266,1.28957348264152,1.5429490511285,0.478347073768959,-0.245298386741606,0.246123395810893,0.158575158482496,0.94364188253441,1.20046081423716,0.379708467008968,-0.67037123083015,-0.607030790201784,0.448316576232738,0.515582891364761,0.95459005122123
"Malek_Chebel",0.775376346661213,0.157054675225206,0.923671207544864,0.328072986411998,0.79550155654635,1.11109563408424,-0.584275722820525,-0.192123556112711,-0.779890585432688,0.0827408525558435,0.82359636678499,0.956867765356967,0.265518852569211,-0.90749857180988,-0.863553794045345,-0.0986885479349519,-0.211455138965236,-0.318424757104934
"Manuel_Valls",0.351811335939411,0.223178141475962,0.573135598977525,-0.135499828259427,0.680971498485382,0.552364201874859,-0.160919960603901,-0.89734793725762,-1.05515919723753,-0.00592111611451856,-0.945828355405571,-0.957003027485787,-0.184432218136534,1.03632373890347,1.00384213310024,-0.166608934247063,0.0104688876087347,-0.16429342943002
"manyfaces01_vid02_clip02_face02_2secs",-0.856504997478388,0.181060378365449,-0.657597731579191,0.195675271637705,-0.39140472012585,-0.202675818835486,0.730376312758457,0.466785915916035,1.21416600828002,-0.0736493442195947,1.02470289531359,0.903186928440038,-0.280094758457821,-2.60579585701667,-2.65452621179653,0.255438419575249,-0.515954438494345,-0.269462832633697
"manyfaces01_vid02_clip04_face03_2secs",0.250809089041633,1.04610728812423,1.2967092708304,0.0602261296791188,-0.0436618197701993,0.0152779888878184,0.602720361781147,1.40635472000467,2.02408873804594,-0.157098504098895,-0.455186339420404,-0.71265578696397,-0.0992800008220976,-1.20179586016081,-1.21981394660423,-0.736152793683973,1.37663769826892,0.633402239820365
"manyfaces01_vid02_clip06_face01_2secs",0.106064353095721,0.604168982740184,0.712386192773002,0.413955822606803,0.962136223515942,1.36002432832662,0.890914481496597,1.15328102540309,2.06370203514317,0.0382796541674742,-0.142640110952301,-0.0818038894917742,-1.07730236989082,0.30399430444085,0.119854349237192,0.254550693063453,-0.0791248557241712,0.166480692512447
