"","age.raw","age.pred","age.resid","makeup.raw","makeup.pred","makeup.resid","trait01.raw","trait01.pred","trait01.resid","trait02.raw","trait02.pred","trait02.resid","trait03.raw","trait03.pred","trait03.resid","trait04.raw","trait04.pred","trait04.resid","trait05.raw","trait05.pred","trait05.resid","glasses.raw","glasses.pred","glasses.resid","glasses.probs","glasses.resid.probs","gender.raw","gender.pred","gender.resid","gender.probs","gender.resid.probs"
"vid30_face01_2s",1.8,2.47570972716846,-0.688711709508353,1.2,0.546918119794908,0.661764002950692,-0.805495616260566,-0.702637059187861,-0.0887882580423691,-1.85677408587352,0.171105926285919,-2.01452378780925,1.44762397104554,0.683078457196372,1.04435758042285,0.586793159704033,-0.0250074085821798,0.669097971031545,-1.70901042890271,-0.270372592491236,-1.45045601852909,0,0,-1.02849740932747,0.999283680392081,-1.01874531864884,0,1,-16.7307692269658,0.314749567302621,-6.78166460654307
"vid30_face02_2s",2.4,2.85252200128754,-0.479995627849403,1.2,0.959599491270756,0.220244120603329,-0.655800308666884,-0.301637392659029,-0.351031325525226,1.6262841964896,-0.060693700716314,1.68255493210898,0.298125936587828,0.333919404152162,0.101548382413075,0.0218281326432991,-0.0170324411344494,0.0781922947161383,-0.401739161899119,0.0561534225325407,-0.445596953178142,0,0,-1.02849740932747,0.999829232539669,-1.01866658559914,0,0,-1.05665024640851,0.932772995932398,-1.01576521540264
"vid30_face03_2s",0.6,2.01526720049287,-1.41058568129001,0.8,0.905690088328612,-0.122079243401908,-0.105973194050837,-0.630788924887622,0.536926113522027,-0.875591234864363,0.457973031279546,-1.29820513923605,1.43021683664641,0.308524097347522,1.24867233508457,-0.17408556791271,-0.0108541361204564,-0.137817944716903,-0.0431492719547375,0.389131780157016,-0.395395104611005,0,0,-1.02849740932747,0.997065598634012,-1.0190688625999,0,0,-1.05665024640851,0.924830856004096,-1.01700803264466
"vid30_face04_2s",1.11111111111111,1.99842472444559,-0.881985251292593,0.777777777777778,0.829380346530182,-0.0626591368213811,-0.990603840067664,-0.146214824063303,-0.845497135231024,0.86984880260061,0.0459849135949638,0.8276232463668,1.34274130853436,-0.175795293073478,1.44789540579881,-0.663593625523031,-0.0317934862713734,-0.559215337118139,-0.127832032570925,0.0858987015268776,-0.199238426091624,0,0,-1.02849740932747,0.99970728136746,-1.01868415661273,0,0,-1.05665024640851,0.922128133336302,-1.01745293362665
"vid30_face05_2s",1.8,2.10995675003466,-0.30891182540853,1.4,0.835890671921283,0.552597813160802,0.126301525020512,-0.0464107853175508,0.168881676897924,0.411492146038933,-0.0870543273923781,0.492101630293928,-0.0625525955109449,0.489227579516399,-0.351066663366246,-0.267795469016886,-0.0136403063912778,-0.22246510465845,0.347979146583542,0.0797692244342827,0.282249570765763,0,0,-1.02849740932747,0.999352525008484,-1.01873536484432,0,0,-1.05665024640851,0.862429663508325,-1.03087266886959
"vid30_face06_2s",1.6,1.93501908576335,-0.327255601758351,1,0.72406174132683,0.272241440646381,0.385676904741443,0.0243141587830296,0.355602835226685,0.33058628451862,0.403790190013385,-0.0420006394574092,1.72667492776542,0.0273378237623895,1.71158197086705,-0.0539751656263413,-0.0197327821489356,0.011172555700364,0.61451332149385,-0.398446072704708,0.991683037670449,1,1,1.11111111111111,0.0288905248035101,1.0299007962998,0,0,-1.05665024640851,0.909844048034797,-1.01962630578899
"vid30_face07_2s",2.2,1.85100720637342,0.359982791501891,0.6,0.580311280613381,0.0260373008147282,0.774335995884188,0.371890439594958,0.387204252052092,-0.498713740758032,-0.265534836658402,-0.253313323997337,0.532016167821034,0.381183865681129,0.307459855903679,-0.0311065447271417,-0.0331630410001537,0.0777265755108859,-1.08267681171539,-0.0999371866399952,-0.981971221807982,0,0,-1.02849740932747,0.998052626030483,-1.01892420438772,0,0,-1.05665024640851,0.698272784236457,-1.14815190008176
"vid30_face08_2s",2,2.3481983470817,-0.356303197736642,1,1.00899401879283,-0.0326021367941327,-0.566749560941418,-0.371487470305298,-0.190225087991878,0.581512953708984,-0.129760933760628,0.701553418503643,1.14734444745428,-0.292670928106606,1.32168446100386,-0.166012010942274,-0.00747812569880064,-0.140725736924665,-0.12252215227713,-0.325817597998262,0.187382672503142,0,0,-1.02849740932747,0.999955406444687,-1.01864842355637,0,0,-1.05665024640851,0.946565166551052,-1.01381886311505
"vid31_face01_2s",1.8,2.17145244063889,-0.372769285564167,1.2,0.206549197139565,1.0259181835672,-0.667849185190445,-0.194086047404915,-0.473565397173234,-0.31857717211119,-0.333556705546714,-0.0103722101876508,0.0617231019479449,0.0393689042476526,0.039508204475416,-0.73631934415353,-0.00218896326856751,-0.728237442235611,0.39586737948699,0.275020870269039,0.149305412446442,0,0,-1.02849740932747,0.999685406440281,-1.01868731015307,1,1,1.06356968216696,0.0217235667988006,1.01052203722693
"vid31_face02_2s",4,4.29141921494492,-0.374154333709264,0.2,-0.0826078335640885,0.335281743447837,0.36838566917977,0.463414537323721,-0.112766821415272,1.28051668308435,1.176094618743,0.194861606669664,-0.394931355705376,-0.445151446314822,-0.130328693615947,1.29747136346383,0.0337336182032685,1.18870575567204,-0.135841249276267,-1.13955870267106,0.927710230645522,0,1,-9.9999999999998,0.186792300171957,-10.8911655555954,1,1,1.06356968216696,0.0100779004609449,1.00941409745335
